batch,loss,accuracy
171,"tensor(2.9862, device='cuda:0', grad_fn=<NllLossBackward0>)",0.32
172,"tensor(2.8836, device='cuda:0', grad_fn=<NllLossBackward0>)",0.323
173,"tensor(2.8582, device='cuda:0', grad_fn=<NllLossBackward0>)",0.325
174,"tensor(2.7479, device='cuda:0', grad_fn=<NllLossBackward0>)",0.337
175,"tensor(2.8827, device='cuda:0', grad_fn=<NllLossBackward0>)",0.358
176,"tensor(2.8043, device='cuda:0', grad_fn=<NllLossBackward0>)",0.329
177,"tensor(2.8597, device='cuda:0', grad_fn=<NllLossBackward0>)",0.308
178,"tensor(2.9487, device='cuda:0', grad_fn=<NllLossBackward0>)",0.344
179,"tensor(2.9672, device='cuda:0', grad_fn=<NllLossBackward0>)",0.329
180,"tensor(2.7831, device='cuda:0', grad_fn=<NllLossBackward0>)",0.339
181,"tensor(2.7991, device='cuda:0', grad_fn=<NllLossBackward0>)",0.34
182,"tensor(2.9708, device='cuda:0', grad_fn=<NllLossBackward0>)",0.318
183,"tensor(2.6352, device='cuda:0', grad_fn=<NllLossBackward0>)",0.349
184,"tensor(2.8556, device='cuda:0', grad_fn=<NllLossBackward0>)",0.331
185,"tensor(2.7939, device='cuda:0', grad_fn=<NllLossBackward0>)",0.33
186,"tensor(2.9566, device='cuda:0', grad_fn=<NllLossBackward0>)",0.303
187,"tensor(2.9211, device='cuda:0', grad_fn=<NllLossBackward0>)",0.33
188,"tensor(2.9465, device='cuda:0', grad_fn=<NllLossBackward0>)",0.31
189,"tensor(2.8634, device='cuda:0', grad_fn=<NllLossBackward0>)",0.316
190,"tensor(3.0336, device='cuda:0', grad_fn=<NllLossBackward0>)",0.309
191,"tensor(3.0081, device='cuda:0', grad_fn=<NllLossBackward0>)",0.306
192,"tensor(2.9506, device='cuda:0', grad_fn=<NllLossBackward0>)",0.314
193,"tensor(2.9771, device='cuda:0', grad_fn=<NllLossBackward0>)",0.316
194,"tensor(2.9338, device='cuda:0', grad_fn=<NllLossBackward0>)",0.316
195,"tensor(2.7752, device='cuda:0', grad_fn=<NllLossBackward0>)",0.343
196,"tensor(2.9142, device='cuda:0', grad_fn=<NllLossBackward0>)",0.319
197,"tensor(2.9487, device='cuda:0', grad_fn=<NllLossBackward0>)",0.297
198,"tensor(2.9661, device='cuda:0', grad_fn=<NllLossBackward0>)",0.295
199,"tensor(2.8013, device='cuda:0', grad_fn=<NllLossBackward0>)",0.337
200,"tensor(2.8709, device='cuda:0', grad_fn=<NllLossBackward0>)",0.324
201,"tensor(2.8951, device='cuda:0', grad_fn=<NllLossBackward0>)",0.33
202,"tensor(2.8253, device='cuda:0', grad_fn=<NllLossBackward0>)",0.347
203,"tensor(2.8828, device='cuda:0', grad_fn=<NllLossBackward0>)",0.323
204,"tensor(2.9083, device='cuda:0', grad_fn=<NllLossBackward0>)",0.308
205,"tensor(2.8206, device='cuda:0', grad_fn=<NllLossBackward0>)",0.327
206,"tensor(3.1139, device='cuda:0', grad_fn=<NllLossBackward0>)",0.273
207,"tensor(5.0124, device='cuda:0', grad_fn=<NllLossBackward0>)",0.03910614525139665
0,"tensor(3.0845, device='cuda:0', grad_fn=<NllLossBackward0>)",0.28
1,"tensor(3.1642, device='cuda:0', grad_fn=<NllLossBackward0>)",0.263
2,"tensor(3.2614, device='cuda:0', grad_fn=<NllLossBackward0>)",0.291
3,"tensor(3.1954, device='cuda:0', grad_fn=<NllLossBackward0>)",0.291
4,"tensor(3.0446, device='cuda:0', grad_fn=<NllLossBackward0>)",0.308
5,"tensor(3.3451, device='cuda:0', grad_fn=<NllLossBackward0>)",0.284
6,"tensor(3.2525, device='cuda:0', grad_fn=<NllLossBackward0>)",0.275
7,"tensor(3.2610, device='cuda:0', grad_fn=<NllLossBackward0>)",0.268
8,"tensor(3.2447, device='cuda:0', grad_fn=<NllLossBackward0>)",0.291
9,"tensor(3.1291, device='cuda:0', grad_fn=<NllLossBackward0>)",0.307
10,"tensor(3.3761, device='cuda:0', grad_fn=<NllLossBackward0>)",0.255
11,"tensor(3.3510, device='cuda:0', grad_fn=<NllLossBackward0>)",0.267
12,"tensor(3.1893, device='cuda:0', grad_fn=<NllLossBackward0>)",0.306
13,"tensor(3.4071, device='cuda:0', grad_fn=<NllLossBackward0>)",0.276
14,"tensor(3.3665, device='cuda:0', grad_fn=<NllLossBackward0>)",0.275
15,"tensor(3.1144, device='cuda:0', grad_fn=<NllLossBackward0>)",0.304
16,"tensor(3.1069, device='cuda:0', grad_fn=<NllLossBackward0>)",0.28
17,"tensor(3.2302, device='cuda:0', grad_fn=<NllLossBackward0>)",0.291
18,"tensor(3.1944, device='cuda:0', grad_fn=<NllLossBackward0>)",0.291
19,"tensor(3.1910, device='cuda:0', grad_fn=<NllLossBackward0>)",0.285
20,"tensor(3.3555, device='cuda:0', grad_fn=<NllLossBackward0>)",0.263
21,"tensor(3.2720, device='cuda:0', grad_fn=<NllLossBackward0>)",0.286
22,"tensor(3.2610, device='cuda:0', grad_fn=<NllLossBackward0>)",0.289
23,"tensor(3.1883, device='cuda:0', grad_fn=<NllLossBackward0>)",0.283
24,"tensor(3.1476, device='cuda:0', grad_fn=<NllLossBackward0>)",0.309
25,"tensor(3.3668, device='cuda:0', grad_fn=<NllLossBackward0>)",0.248
26,"tensor(3.0519, device='cuda:0', grad_fn=<NllLossBackward0>)",0.307
27,"tensor(3.4060, device='cuda:0', grad_fn=<NllLossBackward0>)",0.257
28,"tensor(3.1569, device='cuda:0', grad_fn=<NllLossBackward0>)",0.278
29,"tensor(3.2491, device='cuda:0', grad_fn=<NllLossBackward0>)",0.301
30,"tensor(3.2346, device='cuda:0', grad_fn=<NllLossBackward0>)",0.293
31,"tensor(3.2524, device='cuda:0', grad_fn=<NllLossBackward0>)",0.269
32,"tensor(3.1318, device='cuda:0', grad_fn=<NllLossBackward0>)",0.284
33,"tensor(3.2198, device='cuda:0', grad_fn=<NllLossBackward0>)",0.303
34,"tensor(3.1843, device='cuda:0', grad_fn=<NllLossBackward0>)",0.293
35,"tensor(3.2447, device='cuda:0', grad_fn=<NllLossBackward0>)",0.263
36,"tensor(3.1603, device='cuda:0', grad_fn=<NllLossBackward0>)",0.287
37,"tensor(3.3156, device='cuda:0', grad_fn=<NllLossBackward0>)",0.275
38,"tensor(3.1479, device='cuda:0', grad_fn=<NllLossBackward0>)",0.268
39,"tensor(3.1810, device='cuda:0', grad_fn=<NllLossBackward0>)",0.285
40,"tensor(3.1743, device='cuda:0', grad_fn=<NllLossBackward0>)",0.276
41,"tensor(3.2590, device='cuda:0', grad_fn=<NllLossBackward0>)",0.271
42,"tensor(3.2695, device='cuda:0', grad_fn=<NllLossBackward0>)",0.285
43,"tensor(3.2075, device='cuda:0', grad_fn=<NllLossBackward0>)",0.28
44,"tensor(3.1470, device='cuda:0', grad_fn=<NllLossBackward0>)",0.287
45,"tensor(3.1085, device='cuda:0', grad_fn=<NllLossBackward0>)",0.285
46,"tensor(3.1709, device='cuda:0', grad_fn=<NllLossBackward0>)",0.294
47,"tensor(3.0092, device='cuda:0', grad_fn=<NllLossBackward0>)",0.323
48,"tensor(3.1482, device='cuda:0', grad_fn=<NllLossBackward0>)",0.297
49,"tensor(3.1602, device='cuda:0', grad_fn=<NllLossBackward0>)",0.28
50,"tensor(3.1321, device='cuda:0', grad_fn=<NllLossBackward0>)",0.305
51,"tensor(3.1934, device='cuda:0', grad_fn=<NllLossBackward0>)",0.291
52,"tensor(3.2706, device='cuda:0', grad_fn=<NllLossBackward0>)",0.268
53,"tensor(3.2352, device='cuda:0', grad_fn=<NllLossBackward0>)",0.29
54,"tensor(3.2258, device='cuda:0', grad_fn=<NllLossBackward0>)",0.306
55,"tensor(3.1431, device='cuda:0', grad_fn=<NllLossBackward0>)",0.27
56,"tensor(3.2267, device='cuda:0', grad_fn=<NllLossBackward0>)",0.273
57,"tensor(3.1043, device='cuda:0', grad_fn=<NllLossBackward0>)",0.31
58,"tensor(3.0858, device='cuda:0', grad_fn=<NllLossBackward0>)",0.312
59,"tensor(3.1531, device='cuda:0', grad_fn=<NllLossBackward0>)",0.273
60,"tensor(3.2371, device='cuda:0', grad_fn=<NllLossBackward0>)",0.272
61,"tensor(3.0922, device='cuda:0', grad_fn=<NllLossBackward0>)",0.265
62,"tensor(3.0778, device='cuda:0', grad_fn=<NllLossBackward0>)",0.298
63,"tensor(3.2290, device='cuda:0', grad_fn=<NllLossBackward0>)",0.292
64,"tensor(3.2227, device='cuda:0', grad_fn=<NllLossBackward0>)",0.263
65,"tensor(3.2321, device='cuda:0', grad_fn=<NllLossBackward0>)",0.283
66,"tensor(3.2343, device='cuda:0', grad_fn=<NllLossBackward0>)",0.255
67,"tensor(3.1324, device='cuda:0', grad_fn=<NllLossBackward0>)",0.293
68,"tensor(3.1555, device='cuda:0', grad_fn=<NllLossBackward0>)",0.296
69,"tensor(3.1258, device='cuda:0', grad_fn=<NllLossBackward0>)",0.272
70,"tensor(3.3072, device='cuda:0', grad_fn=<NllLossBackward0>)",0.268
71,"tensor(3.2106, device='cuda:0', grad_fn=<NllLossBackward0>)",0.292
72,"tensor(3.1390, device='cuda:0', grad_fn=<NllLossBackward0>)",0.302
73,"tensor(3.0663, device='cuda:0', grad_fn=<NllLossBackward0>)",0.293
74,"tensor(3.1914, device='cuda:0', grad_fn=<NllLossBackward0>)",0.279
75,"tensor(3.1919, device='cuda:0', grad_fn=<NllLossBackward0>)",0.264
76,"tensor(3.1463, device='cuda:0', grad_fn=<NllLossBackward0>)",0.286
77,"tensor(3.2123, device='cuda:0', grad_fn=<NllLossBackward0>)",0.292
78,"tensor(3.2393, device='cuda:0', grad_fn=<NllLossBackward0>)",0.268
79,"tensor(3.0049, device='cuda:0', grad_fn=<NllLossBackward0>)",0.333
80,"tensor(3.2224, device='cuda:0', grad_fn=<NllLossBackward0>)",0.271
81,"tensor(3.2042, device='cuda:0', grad_fn=<NllLossBackward0>)",0.291
82,"tensor(3.0121, device='cuda:0', grad_fn=<NllLossBackward0>)",0.307
83,"tensor(3.0827, device='cuda:0', grad_fn=<NllLossBackward0>)",0.28
84,"tensor(3.2863, device='cuda:0', grad_fn=<NllLossBackward0>)",0.273
85,"tensor(3.1713, device='cuda:0', grad_fn=<NllLossBackward0>)",0.292
86,"tensor(3.1045, device='cuda:0', grad_fn=<NllLossBackward0>)",0.3
87,"tensor(3.1884, device='cuda:0', grad_fn=<NllLossBackward0>)",0.287
88,"tensor(3.1130, device='cuda:0', grad_fn=<NllLossBackward0>)",0.293
89,"tensor(3.2056, device='cuda:0', grad_fn=<NllLossBackward0>)",0.277
90,"tensor(2.9789, device='cuda:0', grad_fn=<NllLossBackward0>)",0.301
91,"tensor(3.0416, device='cuda:0', grad_fn=<NllLossBackward0>)",0.3
92,"tensor(3.1444, device='cuda:0', grad_fn=<NllLossBackward0>)",0.292
93,"tensor(3.1404, device='cuda:0', grad_fn=<NllLossBackward0>)",0.283
94,"tensor(3.1396, device='cuda:0', grad_fn=<NllLossBackward0>)",0.29
95,"tensor(3.0650, device='cuda:0', grad_fn=<NllLossBackward0>)",0.298
96,"tensor(3.2505, device='cuda:0', grad_fn=<NllLossBackward0>)",0.259
97,"tensor(3.2371, device='cuda:0', grad_fn=<NllLossBackward0>)",0.264
98,"tensor(3.1561, device='cuda:0', grad_fn=<NllLossBackward0>)",0.303
99,"tensor(3.1361, device='cuda:0', grad_fn=<NllLossBackward0>)",0.294
100,"tensor(3.0057, device='cuda:0', grad_fn=<NllLossBackward0>)",0.3
101,"tensor(3.0397, device='cuda:0', grad_fn=<NllLossBackward0>)",0.31
102,"tensor(3.0966, device='cuda:0', grad_fn=<NllLossBackward0>)",0.302
103,"tensor(3.1286, device='cuda:0', grad_fn=<NllLossBackward0>)",0.308
104,"tensor(3.1389, device='cuda:0', grad_fn=<NllLossBackward0>)",0.286
105,"tensor(3.0743, device='cuda:0', grad_fn=<NllLossBackward0>)",0.303
106,"tensor(3.0058, device='cuda:0', grad_fn=<NllLossBackward0>)",0.311
107,"tensor(2.9587, device='cuda:0', grad_fn=<NllLossBackward0>)",0.33
108,"tensor(3.0753, device='cuda:0', grad_fn=<NllLossBackward0>)",0.283
109,"tensor(3.1719, device='cuda:0', grad_fn=<NllLossBackward0>)",0.301
110,"tensor(3.1144, device='cuda:0', grad_fn=<NllLossBackward0>)",0.286
111,"tensor(3.1151, device='cuda:0', grad_fn=<NllLossBackward0>)",0.289
112,"tensor(3.1416, device='cuda:0', grad_fn=<NllLossBackward0>)",0.294
113,"tensor(3.0964, device='cuda:0', grad_fn=<NllLossBackward0>)",0.301
114,"tensor(3.0686, device='cuda:0', grad_fn=<NllLossBackward0>)",0.296
115,"tensor(3.1145, device='cuda:0', grad_fn=<NllLossBackward0>)",0.307
116,"tensor(3.1361, device='cuda:0', grad_fn=<NllLossBackward0>)",0.288
117,"tensor(3.0628, device='cuda:0', grad_fn=<NllLossBackward0>)",0.302
118,"tensor(2.8997, device='cuda:0', grad_fn=<NllLossBackward0>)",0.335
119,"tensor(3.1124, device='cuda:0', grad_fn=<NllLossBackward0>)",0.299
120,"tensor(3.2225, device='cuda:0', grad_fn=<NllLossBackward0>)",0.279
121,"tensor(3.0463, device='cuda:0', grad_fn=<NllLossBackward0>)",0.307
122,"tensor(3.2515, device='cuda:0', grad_fn=<NllLossBackward0>)",0.294
123,"tensor(2.9963, device='cuda:0', grad_fn=<NllLossBackward0>)",0.317
124,"tensor(3.1058, device='cuda:0', grad_fn=<NllLossBackward0>)",0.288
125,"tensor(3.2595, device='cuda:0', grad_fn=<NllLossBackward0>)",0.27
126,"tensor(3.0686, device='cuda:0', grad_fn=<NllLossBackward0>)",0.299
127,"tensor(3.1294, device='cuda:0', grad_fn=<NllLossBackward0>)",0.284
128,"tensor(3.0093, device='cuda:0', grad_fn=<NllLossBackward0>)",0.306
129,"tensor(3.2321, device='cuda:0', grad_fn=<NllLossBackward0>)",0.276
130,"tensor(3.1075, device='cuda:0', grad_fn=<NllLossBackward0>)",0.297
131,"tensor(3.1701, device='cuda:0', grad_fn=<NllLossBackward0>)",0.28
132,"tensor(3.0213, device='cuda:0', grad_fn=<NllLossBackward0>)",0.294
133,"tensor(3.0925, device='cuda:0', grad_fn=<NllLossBackward0>)",0.28
134,"tensor(3.0767, device='cuda:0', grad_fn=<NllLossBackward0>)",0.308
135,"tensor(3.0866, device='cuda:0', grad_fn=<NllLossBackward0>)",0.284
136,"tensor(3.1773, device='cuda:0', grad_fn=<NllLossBackward0>)",0.294
137,"tensor(3.1198, device='cuda:0', grad_fn=<NllLossBackward0>)",0.281
138,"tensor(3.2090, device='cuda:0', grad_fn=<NllLossBackward0>)",0.296
139,"tensor(3.1298, device='cuda:0', grad_fn=<NllLossBackward0>)",0.289
140,"tensor(3.1269, device='cuda:0', grad_fn=<NllLossBackward0>)",0.293
141,"tensor(2.9482, device='cuda:0', grad_fn=<NllLossBackward0>)",0.316
142,"tensor(2.9610, device='cuda:0', grad_fn=<NllLossBackward0>)",0.326
143,"tensor(3.0060, device='cuda:0', grad_fn=<NllLossBackward0>)",0.328
144,"tensor(3.0970, device='cuda:0', grad_fn=<NllLossBackward0>)",0.288
145,"tensor(3.0344, device='cuda:0', grad_fn=<NllLossBackward0>)",0.315
146,"tensor(3.0096, device='cuda:0', grad_fn=<NllLossBackward0>)",0.314
147,"tensor(3.0740, device='cuda:0', grad_fn=<NllLossBackward0>)",0.311
148,"tensor(3.1694, device='cuda:0', grad_fn=<NllLossBackward0>)",0.292
149,"tensor(3.0888, device='cuda:0', grad_fn=<NllLossBackward0>)",0.309
150,"tensor(3.1589, device='cuda:0', grad_fn=<NllLossBackward0>)",0.28
151,"tensor(3.1698, device='cuda:0', grad_fn=<NllLossBackward0>)",0.274
152,"tensor(3.0592, device='cuda:0', grad_fn=<NllLossBackward0>)",0.285
153,"tensor(3.3076, device='cuda:0', grad_fn=<NllLossBackward0>)",0.262
154,"tensor(3.0368, device='cuda:0', grad_fn=<NllLossBackward0>)",0.314
155,"tensor(3.1429, device='cuda:0', grad_fn=<NllLossBackward0>)",0.279
156,"tensor(3.1355, device='cuda:0', grad_fn=<NllLossBackward0>)",0.287
157,"tensor(3.0368, device='cuda:0', grad_fn=<NllLossBackward0>)",0.299
158,"tensor(2.9275, device='cuda:0', grad_fn=<NllLossBackward0>)",0.328
159,"tensor(3.1329, device='cuda:0', grad_fn=<NllLossBackward0>)",0.312
160,"tensor(2.9620, device='cuda:0', grad_fn=<NllLossBackward0>)",0.306
161,"tensor(3.1582, device='cuda:0', grad_fn=<NllLossBackward0>)",0.287
162,"tensor(3.0695, device='cuda:0', grad_fn=<NllLossBackward0>)",0.279
163,"tensor(3.0519, device='cuda:0', grad_fn=<NllLossBackward0>)",0.296
164,"tensor(3.0222, device='cuda:0', grad_fn=<NllLossBackward0>)",0.302
165,"tensor(2.8974, device='cuda:0', grad_fn=<NllLossBackward0>)",0.329
166,"tensor(3.2061, device='cuda:0', grad_fn=<NllLossBackward0>)",0.301
167,"tensor(3.0031, device='cuda:0', grad_fn=<NllLossBackward0>)",0.313
168,"tensor(3.1073, device='cuda:0', grad_fn=<NllLossBackward0>)",0.295
169,"tensor(3.0328, device='cuda:0', grad_fn=<NllLossBackward0>)",0.333
170,"tensor(3.0264, device='cuda:0', grad_fn=<NllLossBackward0>)",0.312
171,"tensor(3.0438, device='cuda:0', grad_fn=<NllLossBackward0>)",0.309
172,"tensor(3.2829, device='cuda:0', grad_fn=<NllLossBackward0>)",0.276
173,"tensor(3.0784, device='cuda:0', grad_fn=<NllLossBackward0>)",0.314
174,"tensor(3.1230, device='cuda:0', grad_fn=<NllLossBackward0>)",0.293
175,"tensor(3.1906, device='cuda:0', grad_fn=<NllLossBackward0>)",0.289
176,"tensor(2.9828, device='cuda:0', grad_fn=<NllLossBackward0>)",0.304
177,"tensor(3.0851, device='cuda:0', grad_fn=<NllLossBackward0>)",0.292
178,"tensor(3.1190, device='cuda:0', grad_fn=<NllLossBackward0>)",0.3
179,"tensor(3.0518, device='cuda:0', grad_fn=<NllLossBackward0>)",0.295
180,"tensor(3.1076, device='cuda:0', grad_fn=<NllLossBackward0>)",0.303
181,"tensor(3.0845, device='cuda:0', grad_fn=<NllLossBackward0>)",0.3
182,"tensor(2.9849, device='cuda:0', grad_fn=<NllLossBackward0>)",0.319
183,"tensor(3.0195, device='cuda:0', grad_fn=<NllLossBackward0>)",0.306
184,"tensor(2.9267, device='cuda:0', grad_fn=<NllLossBackward0>)",0.316
185,"tensor(2.9477, device='cuda:0', grad_fn=<NllLossBackward0>)",0.324
186,"tensor(3.0574, device='cuda:0', grad_fn=<NllLossBackward0>)",0.294
187,"tensor(2.9688, device='cuda:0', grad_fn=<NllLossBackward0>)",0.31
188,"tensor(3.1090, device='cuda:0', grad_fn=<NllLossBackward0>)",0.3
189,"tensor(3.0256, device='cuda:0', grad_fn=<NllLossBackward0>)",0.317
190,"tensor(3.1503, device='cuda:0', grad_fn=<NllLossBackward0>)",0.291
191,"tensor(3.1318, device='cuda:0', grad_fn=<NllLossBackward0>)",0.315
192,"tensor(3.1371, device='cuda:0', grad_fn=<NllLossBackward0>)",0.312
193,"tensor(3.0502, device='cuda:0', grad_fn=<NllLossBackward0>)",0.318
194,"tensor(2.8387, device='cuda:0', grad_fn=<NllLossBackward0>)",0.326
195,"tensor(3.0962, device='cuda:0', grad_fn=<NllLossBackward0>)",0.3
196,"tensor(3.0719, device='cuda:0', grad_fn=<NllLossBackward0>)",0.314
197,"tensor(3.0741, device='cuda:0', grad_fn=<NllLossBackward0>)",0.324
198,"tensor(3.0638, device='cuda:0', grad_fn=<NllLossBackward0>)",0.304
199,"tensor(2.8753, device='cuda:0', grad_fn=<NllLossBackward0>)",0.312
200,"tensor(2.9489, device='cuda:0', grad_fn=<NllLossBackward0>)",0.3
201,"tensor(2.9145, device='cuda:0', grad_fn=<NllLossBackward0>)",0.318
202,"tensor(3.0331, device='cuda:0', grad_fn=<NllLossBackward0>)",0.329
203,"tensor(2.9703, device='cuda:0', grad_fn=<NllLossBackward0>)",0.308
204,"tensor(2.9773, device='cuda:0', grad_fn=<NllLossBackward0>)",0.318
205,"tensor(2.9381, device='cuda:0', grad_fn=<NllLossBackward0>)",0.309
206,"tensor(3.0018, device='cuda:0', grad_fn=<NllLossBackward0>)",0.321
207,"tensor(3.0380, device='cuda:0', grad_fn=<NllLossBackward0>)",0.317
208,"tensor(3.1052, device='cuda:0', grad_fn=<NllLossBackward0>)",0.295
209,"tensor(2.9785, device='cuda:0', grad_fn=<NllLossBackward0>)",0.312
210,"tensor(3.0867, device='cuda:0', grad_fn=<NllLossBackward0>)",0.308
211,"tensor(3.0021, device='cuda:0', grad_fn=<NllLossBackward0>)",0.327
212,"tensor(2.9297, device='cuda:0', grad_fn=<NllLossBackward0>)",0.311
213,"tensor(3.1214, device='cuda:0', grad_fn=<NllLossBackward0>)",0.29
214,"tensor(2.9860, device='cuda:0', grad_fn=<NllLossBackward0>)",0.306
215,"tensor(2.9770, device='cuda:0', grad_fn=<NllLossBackward0>)",0.308
216,"tensor(2.9926, device='cuda:0', grad_fn=<NllLossBackward0>)",0.294
217,"tensor(3.0478, device='cuda:0', grad_fn=<NllLossBackward0>)",0.312
218,"tensor(2.8666, device='cuda:0', grad_fn=<NllLossBackward0>)",0.3
219,"tensor(2.9606, device='cuda:0', grad_fn=<NllLossBackward0>)",0.324
220,"tensor(2.9116, device='cuda:0', grad_fn=<NllLossBackward0>)",0.326
221,"tensor(2.9552, device='cuda:0', grad_fn=<NllLossBackward0>)",0.319
222,"tensor(3.0172, device='cuda:0', grad_fn=<NllLossBackward0>)",0.311
223,"tensor(2.9545, device='cuda:0', grad_fn=<NllLossBackward0>)",0.314
224,"tensor(2.9282, device='cuda:0', grad_fn=<NllLossBackward0>)",0.308
225,"tensor(2.7995, device='cuda:0', grad_fn=<NllLossBackward0>)",0.336
226,"tensor(2.9937, device='cuda:0', grad_fn=<NllLossBackward0>)",0.294
227,"tensor(2.8754, device='cuda:0', grad_fn=<NllLossBackward0>)",0.322
228,"tensor(3.0544, device='cuda:0', grad_fn=<NllLossBackward0>)",0.301
229,"tensor(3.0020, device='cuda:0', grad_fn=<NllLossBackward0>)",0.316
230,"tensor(2.8677, device='cuda:0', grad_fn=<NllLossBackward0>)",0.327
231,"tensor(3.0478, device='cuda:0', grad_fn=<NllLossBackward0>)",0.291
232,"tensor(2.9270, device='cuda:0', grad_fn=<NllLossBackward0>)",0.304
233,"tensor(2.8751, device='cuda:0', grad_fn=<NllLossBackward0>)",0.331
234,"tensor(2.9318, device='cuda:0', grad_fn=<NllLossBackward0>)",0.293
235,"tensor(2.9968, device='cuda:0', grad_fn=<NllLossBackward0>)",0.316
236,"tensor(2.9085, device='cuda:0', grad_fn=<NllLossBackward0>)",0.316
237,"tensor(3.0495, device='cuda:0', grad_fn=<NllLossBackward0>)",0.328
238,"tensor(3.0601, device='cuda:0', grad_fn=<NllLossBackward0>)",0.299
239,"tensor(2.9400, device='cuda:0', grad_fn=<NllLossBackward0>)",0.312
240,"tensor(3.1653, device='cuda:0', grad_fn=<NllLossBackward0>)",0.296
241,"tensor(3.1212, device='cuda:0', grad_fn=<NllLossBackward0>)",0.306
242,"tensor(3.0078, device='cuda:0', grad_fn=<NllLossBackward0>)",0.304
243,"tensor(3.1183, device='cuda:0', grad_fn=<NllLossBackward0>)",0.302
244,"tensor(2.8969, device='cuda:0', grad_fn=<NllLossBackward0>)",0.324
245,"tensor(3.0045, device='cuda:0', grad_fn=<NllLossBackward0>)",0.291
246,"tensor(3.0501, device='cuda:0', grad_fn=<NllLossBackward0>)",0.307
247,"tensor(2.8504, device='cuda:0', grad_fn=<NllLossBackward0>)",0.337
248,"tensor(3.1295, device='cuda:0', grad_fn=<NllLossBackward0>)",0.284
249,"tensor(2.8067, device='cuda:0', grad_fn=<NllLossBackward0>)",0.354
250,"tensor(3.1718, device='cuda:0', grad_fn=<NllLossBackward0>)",0.29
251,"tensor(2.9609, device='cuda:0', grad_fn=<NllLossBackward0>)",0.321
252,"tensor(3.0166, device='cuda:0', grad_fn=<NllLossBackward0>)",0.299
253,"tensor(2.8900, device='cuda:0', grad_fn=<NllLossBackward0>)",0.342
254,"tensor(2.9987, device='cuda:0', grad_fn=<NllLossBackward0>)",0.315
255,"tensor(3.1443, device='cuda:0', grad_fn=<NllLossBackward0>)",0.284
256,"tensor(2.8915, device='cuda:0', grad_fn=<NllLossBackward0>)",0.33
257,"tensor(2.9438, device='cuda:0', grad_fn=<NllLossBackward0>)",0.323
258,"tensor(2.9645, device='cuda:0', grad_fn=<NllLossBackward0>)",0.319
259,"tensor(2.9495, device='cuda:0', grad_fn=<NllLossBackward0>)",0.335
260,"tensor(3.0454, device='cuda:0', grad_fn=<NllLossBackward0>)",0.318
261,"tensor(2.9921, device='cuda:0', grad_fn=<NllLossBackward0>)",0.305
262,"tensor(2.9800, device='cuda:0', grad_fn=<NllLossBackward0>)",0.31
263,"tensor(2.9832, device='cuda:0', grad_fn=<NllLossBackward0>)",0.298
264,"tensor(3.1148, device='cuda:0', grad_fn=<NllLossBackward0>)",0.299
265,"tensor(2.9622, device='cuda:0', grad_fn=<NllLossBackward0>)",0.314
266,"tensor(2.9382, device='cuda:0', grad_fn=<NllLossBackward0>)",0.301
267,"tensor(2.9601, device='cuda:0', grad_fn=<NllLossBackward0>)",0.313
268,"tensor(3.0306, device='cuda:0', grad_fn=<NllLossBackward0>)",0.304
269,"tensor(3.0797, device='cuda:0', grad_fn=<NllLossBackward0>)",0.31
270,"tensor(2.9624, device='cuda:0', grad_fn=<NllLossBackward0>)",0.341
271,"tensor(3.1145, device='cuda:0', grad_fn=<NllLossBackward0>)",0.3
272,"tensor(2.9684, device='cuda:0', grad_fn=<NllLossBackward0>)",0.304
273,"tensor(2.9890, device='cuda:0', grad_fn=<NllLossBackward0>)",0.314
274,"tensor(3.0774, device='cuda:0', grad_fn=<NllLossBackward0>)",0.275
275,"tensor(3.0313, device='cuda:0', grad_fn=<NllLossBackward0>)",0.291
276,"tensor(2.9491, device='cuda:0', grad_fn=<NllLossBackward0>)",0.294
277,"tensor(2.8956, device='cuda:0', grad_fn=<NllLossBackward0>)",0.321
278,"tensor(2.9302, device='cuda:0', grad_fn=<NllLossBackward0>)",0.326
279,"tensor(2.9387, device='cuda:0', grad_fn=<NllLossBackward0>)",0.331
280,"tensor(3.0510, device='cuda:0', grad_fn=<NllLossBackward0>)",0.321
281,"tensor(3.0472, device='cuda:0', grad_fn=<NllLossBackward0>)",0.299
282,"tensor(2.8097, device='cuda:0', grad_fn=<NllLossBackward0>)",0.345
283,"tensor(3.0154, device='cuda:0', grad_fn=<NllLossBackward0>)",0.316
284,"tensor(2.9195, device='cuda:0', grad_fn=<NllLossBackward0>)",0.325
285,"tensor(2.9852, device='cuda:0', grad_fn=<NllLossBackward0>)",0.312
286,"tensor(2.8466, device='cuda:0', grad_fn=<NllLossBackward0>)",0.329
287,"tensor(2.9172, device='cuda:0', grad_fn=<NllLossBackward0>)",0.307
288,"tensor(2.8261, device='cuda:0', grad_fn=<NllLossBackward0>)",0.334
289,"tensor(2.9720, device='cuda:0', grad_fn=<NllLossBackward0>)",0.316
290,"tensor(2.9435, device='cuda:0', grad_fn=<NllLossBackward0>)",0.316
291,"tensor(3.0141, device='cuda:0', grad_fn=<NllLossBackward0>)",0.336
292,"tensor(3.0927, device='cuda:0', grad_fn=<NllLossBackward0>)",0.322
293,"tensor(2.8722, device='cuda:0', grad_fn=<NllLossBackward0>)",0.346
294,"tensor(2.9725, device='cuda:0', grad_fn=<NllLossBackward0>)",0.333
